id,province,population,x_coord,y_coord,latitude,longitude,Ontrelevant,name
72029,7,8312,222516.7431,211382.7544,51.2102694,5.4225379,NVT,OVERPELT
72030,7,10001,226087349,202709816,51.13502949,5.456184993,NVT,PEER
72037,7,8555,229590.4839,216921.1983,51.24893339,5.515293389,NVT,HAMONT-ACHEL
72038,7,7167,219898.3071,203295.8525,51.16775215,5.39432515,NVT,HECHTEL-EKSEL
72039,7,19162,222633.2213,192854329,51.03283518,5.331191135,NVT,HOUTHALEN-HELCHTEREN
72040,7,8366,232764.6456,199057.3282,51.07238427,5.552933474,NVT,MEEUWEN-GRUITRODE
72041,7,12218,244837.9012,192415.8592,51.03676771,5.735770662,NVT,DILSEN-STOKKEM
73001,7,7236,214957.1213,174862.4483,50.87609,5.30767,NVT,ALKEN
73006,7,19106,232043.2137,174049.0857,50.86664651,5.534754784,NVT,BILZEN
73009,7,6506,218278.8699,166522.2132,50.80777079,5.332348161,NVT,BORGLOON
73022,7,4239,216038357,160863.2626,50.75594627,5.303625884,NVT,HEERS
73028,7,52,224845375,157895565,50.72653,5426,NVT,HERSTAPPE
73032,7,6118,227670.6176,171279.9116,50.80127718,5.471206836,NVT,HOESELT
73040,7,5399,222901.8074,172011.6963,50.8572707,5.410653395,NVT,KORTESSEM
73042,7,15796,240465.2087,176924.8729,50.89645105,5.658845282,NVT,LANAKEN
73066,7,10442,236791.3064,166767.3928,50.8072625,5.595156147,NVT,RIEMST
73083,7,18867,227721.5783,163841.3818,50.78049395,5.473655625,NVT,TONGEREN
73098,7,4549,217538.8659,170550.6941,50.83721318,5.3287591,NVT,WELLEN
73107,7,23326,243578.1573,184975.9303,50.96991794,5.70979219,NVT,MAASMECHELEN
73109,7,2583,251986.4171,160699.7771,50.74921941,5.806343076,NVT,VOEREN-'S GRAVENVOEREN
